target bitrate,avg bitrate,13700k vaapi h264,13700k vaapi h265,13700k vaapi vp9,x264,svtav1 p6 10b tune0,svtav1 p6 10b tune0 vbr,nvenc av1 8bit,svtav1 p8 10b tune0,svtav1 p8 8b tune0,nvenc av1 10b,a770 vaapi h264,a770 vaapi hevc,a770 vaapi 10b hevc,a770 av1 qsv,a770 av1 10bit qsv
4500,4549240,,,,,,,20.75077808,,,,,,,,
5000,5026002,,,,,,,24.68075011,,,,,,,,
5500,5501807,,,,,,,28.43262877,,,,,,,,
6000,5995385,,,,,,,31.54587551,,,,,,,,
6500,6465201,,,,,,,34.41844822,,,,,,,,
7000,6943117,,,,,,,36.83930764,,,,,,,,
7500,7437010,,,,,,,39.25080672,,,,,,,,
8000,7910462,,,,,,,41.21797298,,,,,,,,
8500,8377525,,,,,,,43.09001805,,,,,,,,
500,816340,,,,,,,,-61.43185345,,,,,,,
1000,999779,,,,,,,,-49.60817292,,,,,,,
1500,1495476,,,,,,,,-29.35371922,,,,,,,
2000,1992722,,,,,,,,-14.31379826,,,,,,,
2500,2489776,,,,,,,,-2.2593065,,,,,,,
3000,2982332,,,,,,,,6.8388634,,,,,,,
3500,3477738,,,,,,,,13.62247652,,,,,,,
4000,3971356,,,,,,,,19.26191562,,,,,,,
4500,4464617,,,,,,,,24.13807524,,,,,,,
5000,4955448,,,,,,,,27.88243889,,,,,,,
5500,5448751,,,,,,,,31.53875013,,,,,,,
6000,5944707,,,,,,,,34.34258232,,,,,,,
6500,6438369,,,,,,,,36.96020216,,,,,,,
7000,6929283,,,,,,,,39.28775633,,,,,,,
7500,7420795,,,,,,,,41.37239894,,,,,,,
8000,7913413,,,,,,,,42.88958443,,,,,,,
8500,8407188,,,,,,,,45.36192485,,,,,,,
500,827099,,,,,,,,,-60.76337977,,,,,,
1000,1000544,,,,,,,,,-49.65752016,,,,,,
1500,1495982,,,,,,,,,-29.31902449,,,,,,
2000,1992724,,,,,,,,,-14.73582747,,,,,,
2500,2491918,,,,,,,,,-2.7204683,,,,,,
3000,2987730,,,,,,,,,6.03811162,,,,,,
3500,3482386,,,,,,,,,12.70051159,,,,,,
4000,3977272,,,,,,,,,17.97369223,,,,,,
4500,4471241,,,,,,,,,23.03416688,,,,,,
5000,4968695,,,,,,,,,27.11110867,,,,,,
5500,5459882,,,,,,,,,30.41799819,,,,,,
6000,5954749,,,,,,,,,33.09428521,,,,,,
6500,6448378,,,,,,,,,36.04490627,,,,,,
7000,6940637,,,,,,,,,38.32077963,,,,,,
7500,7440350,,,,,,,,,40.50135308,,,,,,
8000,7937206,,,,,,,,,42.49682305,,,,,,
8500,8429660,,,,,,,,,44.61013736,,,,,,
500,774302,,,,,,,,,,-92.00160732,,,,,
1000,1152792,,,,,,,,,,-57.40770991,,,,,
1500,1658011,,,,,,,,,,-32.33490314,,,,,
2000,2148640,,,,,,,,,,-16.72197929,,,,,
2500,2617114,,,,,,,,,,-5.21316796,,,,,
3000,3114775,,,,,,,,,,3.58899986,,,,,
3500,3583083,,,,,,,,,,10.47180599,,,,,
4000,4053216,,,,,,,,,,16.04310597,,,,,
4500,4546942,,,,,,,,,,21.25534727,,,,,
5000,5021459,,,,,,,,,,25.20993904,,,,,
5500,5503134,,,,,,,,,,29.04300415,,,,,
6000,5987066,,,,,,,,,,32.10571865,,,,,
6500,6457954,,,,,,,,,,34.98365451,,,,,
7000,6936003,,,,,,,,,,37.4419755,,,,,
7500,7435153,,,,,,,,,,39.89037392,,,,,
8000,7905333,,,,,,,,,,41.94332187,,,,,
8500,8369689,,,,,,,,,,43.78948437,,,,,
500,1114938,,,,,,,,,,,-168.8239327,,,,
1000,1246610,,,,,,,,,,,-158.525795,,,,
1500,1605823,,,,,,,,,,,-129.8916472,,,,
2000,2072806,,,,,,,,,,,-105.1108128,,,,
2500,2559363,,,,,,,,,,,-82.08140627,,,,
3000,3053096,,,,,,,,,,,-62.1744342,,,,
3500,3552022,,,,,,,,,,,-46.09424963,,,,
4000,4048585,,,,,,,,,,,-32.4754058,,,,
4500,4551874,,,,,,,,,,,-21.40809904,,,,
5000,5069771,,,,,,,,,,,-10.97447878,,,,
5500,5568900,,,,,,,,,,,-3.15472014,,,,
6000,6065423,,,,,,,,,,,3.52102244,,,,
6500,6596914,,,,,,,,,,,9.10324598,,,,
7000,7087376,,,,,,,,,,,13.66082817,,,,
7500,7576222,,,,,,,,,,,17.99659933,,,,
8000,8105316,,,,,,,,,,,21.58574085,,,,
8500,8588215,,,,,,,,,,,24.67345785,,,,
500,919986,,,,,,,,,,,,-124.6779057,,,
1000,1110781,,,,,,,,,,,,-99.30579988,,,
1500,1516225,,,,,,,,,,,,-62.65181461,,,
2000,2012466,,,,,,,,,,,,-36.41327733,,,
2500,2496013,,,,,,,,,,,,-20.38302072,,,
3000,2980331,,,,,,,,,,,,-8.91911771,,,
3500,3478371,,,,,,,,,,,,-0.27303746,,,
4000,3984408,,,,,,,,,,,,6.66838053,,,
4500,4464406,,,,,,,,,,,,12.93116763,,,
5000,4964103,,,,,,,,,,,,17.70244182,,,
5500,5456413,,,,,,,,,,,,21.91775369,,,
6000,5939258,,,,,,,,,,,,26.0162023,,,
6500,6406283,,,,,,,,,,,,29.15238741,,,
7000,6897207,,,,,,,,,,,,32.14738218,,,
7500,7366280,,,,,,,,,,,,34.85324306,,,
8000,7855142,,,,,,,,,,,,37.19430774,,,
8500,8325774,,,,,,,,,,,,39.0689482,,,
500,920240,,,,,,,,,,,,,-124.6298771,,
1000,1107759,,,,,,,,,,,,,-98.78434119,,
1500,1521405,,,,,,,,,,,,,-62.08156748,,
2000,2012032,,,,,,,,,,,,,-36.64010877,,
2500,2489240,,,,,,,,,,,,,-20.31444875,,
3000,3003885,,,,,,,,,,,,,-9.04296346,,
3500,3487921,,,,,,,,,,,,,0.27460054,,
4000,3985753,,,,,,,,,,,,,7.36422224,,
4500,4486851,,,,,,,,,,,,,13.4735018,,
5000,4962813,,,,,,,,,,,,,18.25387722,,
5500,5463142,,,,,,,,,,,,,22.37479295,,
6000,5920917,,,,,,,,,,,,,26.07054214,,
6500,6398891,,,,,,,,,,,,,29.73281832,,
